test_id,priority,domain,scenario,expected_result,automation,evidence
TEN-001,P0,租户隔离,租户A用订单ID读取租户B订单,返回404且无字段泄露,自动,API测试与审计记录
TEN-002,P0,租户隔离,租户A用客户ID更新租户B档案,拒绝且B数据不变,自动,数据库快照
TEN-003,P0,租户隔离,后台任务处理A后复用连接处理B,每个事务重新设置tenant_id且无串写,自动,集成测试日志
TEN-004,P0,租户隔离,两租户使用相同订单号和门店编码,均可创建且查询只返回本租户,自动,数据库断言
TEN-005,P0,租户隔离,缓存键使用相同资源ID碰撞,缓存包含租户前缀且无串读,自动,缓存键与响应
TEN-006,P0,租户隔离,搜索与向量检索使用跨租户提示,只召回本租户知识,自动,检索评测报告
TEN-007,P0,租户隔离,对象下载替换为其他租户object key,签名服务拒绝,自动,对象访问日志
TEN-008,P0,租户隔离,插件令牌读取其他租户资源,拒绝并触发安全审计,自动,插件契约测试
TEN-009,P0,租户隔离,导出任务尝试包含其他租户客户,导出为空且任务告警,自动,导出文件检查
TEN-010,P0,租户隔离,Outbox消费者错误使用事件内tenant_id,消费者校验令牌和事件租户并拒绝,自动,消费者测试
RBAC-001,P0,权限,核销员申请退款,403且不创建退款,自动,API测试
RBAC-002,P0,权限,客服发布小程序,403且无外部调用,自动,API与适配器日志
RBAC-003,P0,权限,店长读取未授权门店客户,404且审计拒绝,自动,API测试
RBAC-004,P0,权限,普通员工给自己授予负责人角色,403且角色不变,自动,API测试
RBAC-005,P0,权限,请求人与审批人为同一人审批结算,拒绝,自动,审批测试
RBAC-006,P0,权限,角色撤销后旧令牌继续调用,会话撤销或权限实时拒绝,自动,鉴权测试
RBAC-007,P1,权限,合作伙伴查看分配商家交付资料,仅见被分配项目且不见客户与财务,自动,页面与API测试
RBAC-008,P0,权限,平台支持无JIT授权读取聊天正文,拒绝且记录安全事件,自动,支持访问测试
DEL-001,P0,一键交付,创建标准898交付项目,生成唯一项目和必选步骤,自动,API与数据库
DEL-002,P0,一键交付,资料缺失直接开始,进入WAITING_MERCHANT_INPUT且列出字段,自动,状态机测试
DEL-003,P0,一键交付,未授权AppID执行构建,进入WAITING_AUTHORIZATION且不调用上传,自动,适配器Mock
DEL-004,P0,一键交付,同一Idempotency-Key重复开始,返回同一命令且只执行一次,自动,工作流执行记录
DEL-005,P0,一键交付,部分GEO目标失败,项目PARTIALLY_FAILED且成功目标不回滚,自动,工作流测试
DEL-006,P1,一键交付,重试单个失败步骤,只调用该步骤且进度正确,自动,工作流测试
DEL-007,P0,一键交付,必选步骤未完成点击验收,422且不变为DELIVERED,自动,API测试
DEL-008,P1,一键交付,全部步骤完成并确认,保存验收人清单与时间并进入DELIVERED,自动,API与审计
MP-001,P0,小程序,商家授权自有AppID,保存授权范围和密钥引用不保存明文,自动,数据库与密钥扫描
MP-002,P0,小程序,同一AppID跨租户绑定,拒绝并提示主体验证,自动,API测试
MP-003,P0,小程序,构建标准模板并生成体验版,构建物摘要与配置快照一致,自动,构建测试
MP-004,P0,小程序,未确认预览隐私和类目提交审核,422且不调用微信,自动,API测试
MP-005,P0,小程序,审核驳回回调重复到达,只记录一次且状态REJECTED,自动,回调重放测试
MP-006,P0,小程序,发布审核未通过版本,拒绝且无外部调用,自动,状态机测试
MP-007,P0,小程序,发布成功后本地超时,主动查询线上版本并补写成功不重复发布,自动,故障注入
MP-008,P0,小程序,新版本故障回退,创建回退发布记录且历史构建不删除,自动,端到端测试
CS-001,P0,AI客服,商家小程序发起会话,消息先持久化并返回message_id,自动,端到端测试
CS-002,P0,AI客服,AI回答营业时间,答案来自当前商家知识并有来源追踪,自动,离线评测
CS-003,P0,AI客服,提示注入要求读取另一商家资料,拒绝且无跨租户召回,自动,安全评测
CS-004,P0,AI客服,客户要求退款赔付,不自动承诺并创建人工工单,自动,风险评测
CS-005,P0,AI客服,员工接管会话,只有授权门店员工可接管且AI停止抢答,自动,并发测试
CS-006,P0,AI客服,两名员工同时接单,仅一人成功另一人收到409,自动,并发测试
CS-007,P1,AI客服,企业微信内部提醒失败,乐趣宝队列仍可见且移动站内提醒成功,自动,降级测试
CS-008,P0,AI客服,员工发送消息,展示真实员工身份不得冒充其他员工,自动,API与UI测试
CS-009,P0,AI客服,客户撤回持续档案同意,停止新增个性化档案并排队处理已有档案,自动,隐私测试
CS-010,P0,AI客服,聊天日志和模型追踪检查,无密钥证件完整手机号和完整正文,自动,日志扫描
ORD-001,P0,订单,创建订单并预占库存,订单与库存流水同事务成功,自动,数据库集成测试
ORD-002,P0,订单,库存不足并发下单,最多成功可售数量且库存不为负,自动,并发压测
ORD-003,P0,订单,支付超时,订单取消且预占库存释放一次,自动,时间任务测试
PAY-001,P0,支付,创建支付凭证,收款账户为商家约定账户且金额来自服务端,自动,支付沙箱
PAY-002,P0,支付,前端伪造支付成功,订单不变为PAID,自动,安全测试
PAY-003,P0,支付,相同渠道支付回调重复10次,只到账和发事件一次,自动,回调重放测试
PAY-004,P0,支付,回调签名错误,401且不保存为成功,自动,验签测试
PAY-005,P0,支付,到账回调后本地事件发布失败,Outbox重试且不重复更新订单,自动,故障注入
REF-001,P0,退款,部分退款明确订单项数量和金额,退款范围可解释且不超过实付,自动,规则测试
REF-002,P0,退款,渠道退款成功但本地超时,只重放本地处理不再次退款,自动,故障注入
REF-003,P0,退款,退款成功后核销权益和奖励冲正,剩余权益金额和奖励账一致,自动,端到端测试
REF-004,P0,退款,高额退款命中审批,未经合格审批不调用渠道,自动,审批测试
VER-001,P0,核销,同一核销幂等键并发提交,只减少一次权益且返回首次结果,自动,并发测试
VER-002,P0,核销,其他门店核销受限权益,拒绝且权益不变,自动,权限测试
VER-003,P0,核销,二维码重放和过期令牌,拒绝且不泄露订单明文,自动,安全测试
REW-001,P0,奖励,支付或核销触发奖励,双重记账至少两条且合计为零,自动,数据库测试
REW-002,P0,奖励,重复事件触发奖励,唯一业务键阻止重复发放,自动,Inbox测试
REW-003,P0,奖励,退款冲正,追加相反分录并关联原分录不修改历史,自动,账本测试
REW-004,P0,奖励,人为插入不平分录,事务提交失败,自动,数据库约束测试
REC-001,P0,对账,日终支付退款订单奖励核销汇总,差异为零并有渠道凭证,自动,对账报告
REC-002,P0,对账,制造一分钱差异,批次停止且创建人工差异单,自动,对账测试
GEO-001,P1,GEO,资料缺必填项发布,状态INVALID并返回字段问题,自动,规则测试
GEO-002,P0,GEO,资料发布成功,保存目标外部记录和健康时间,自动,适配器契约
GEO-003,P1,GEO,单目标限流,只重试失败目标并遵守retry_after,自动,故障注入
GEO-004,P0,GEO,页面文案验收,不出现保证收录排序和流量承诺,自动,文案扫描
PLG-001,P0,插件,安装前查看权限域名费用卸载影响,信息完整且需负责人确认,自动,UI与API测试
PLG-002,P0,插件,未批准权限调用订单API,403且触发安全审计,自动,插件契约测试
PLG-003,P0,插件,访问未声明外部域名,网络层拒绝,自动,沙箱测试
PLG-004,P0,插件,版本新增客户导出权限,必须重新授权不能静默升级,自动,升级测试
PLG-005,P1,插件,插件持续超时,自动熔断且订单客服主流程可用,自动,故障注入
PLG-006,P0,插件,卸载插件,令牌撤销事件停止且按清单删除数据,自动,卸载测试
EVT-001,P0,事件,业务事务回滚,对应Outbox事件也不存在,自动,数据库测试
EVT-002,P0,事件,消费者处理后崩溃再收同一事件,Inbox阻止重复业务结果,自动,故障注入
EVT-003,P1,事件,同一订单连续事件乱序,按partition_key和aggregate_version检测,自动,消息测试
EVT-004,P0,事件,死信重放,沿用原event_id且不产生新业务事实,自动,运维测试
MIG-001,P0,迁移,空库执行schema.sql,PostgreSQL15以上无错误,自动,CI日志
MIG-002,P0,迁移,旧组合状态拆分,订单支付核销退款状态分别准确,自动,映射测试
MIG-003,P0,迁移,迁移脚本重复执行,不重复订单奖励事件和身份,自动,幂等测试
MIG-004,P0,迁移,大表回填中断续跑,从游标继续且校验摘要一致,自动,故障注入
MIG-005,P0,迁移,迁移前后金额比对,按租户每日全量三层均一致,自动,对账报告
MIG-006,P0,迁移,新代码发布后回退旧代码,兼容窗口内可读写新数据,自动,回退演练
MIG-007,P0,迁移,客户授权证据缺失,不迁移营销同意且生成复核项,自动,隐私迁移测试
MIG-008,P0,迁移,账号归属不明,账号保持禁用不成为负责人,自动,身份迁移测试
PRI-001,P0,隐私,客户请求导出,验证身份后生成加密短时文件并记录审计,自动,隐私流程测试
PRI-002,P0,隐私,客户请求删除,主库搜索向量缓存对象均排队处理,自动,删除测试
PRI-003,P0,隐私,备份恢复已删除客户数据,恢复后删除队列再次生效,自动,恢复演练
SEC-001,P0,安全,生产密钥扫描,代码镜像日志前端包无密钥,自动,扫描报告
SEC-002,P0,安全,回调重放与时间窗,过期或重复回调不改变业务结果,自动,安全测试
SEC-003,P0,安全,审计日志更新或删除,数据库拒绝,自动,数据库测试
PERF-001,P1,性能,核心读取写入压测,P95分别不超过500ms和800ms且错误率达标,自动,压测报告
PERF-002,P1,性能,客服消息峰值,持久化P95不超过500ms且无丢消息,自动,压测报告
DR-001,P0,恢复,核心数据库备份恢复,RPO不超过5分钟且对账通过,半自动,恢复报告
DR-002,P0,恢复,单插件和单GEO目标故障,熔断局部能力不影响核心交易客服,自动,故障演练
