字段,必填,说明,示例
knowledge_id,是,稳定知识编号,kb_store_001
title,是,一个问题一个标题,周末营业时间
standard_question,是,顾客常见问法,你们周日几点关门
short_answer,是,直接答案,周日营业到22点
detail,否,限制和补充说明,节假日时间另行通知
tenant_id,是,商户范围,merchant_001
store_ids,否,适用门店编号,store_001
channel,是,适用渠道,miniapp_ai_service
effective_at,是,生效时间,2026-08-15T00:00:00+08:00
expires_at,否,失效时间,2026-12-31T23:59:59+08:00
source_type,是,资料来源,merchant_confirmed
source_reference,是,来源编号或文件,doc_store_rules_001
owner_id,是,资料负责人,staff_001
risk_level,是,低中高,low
auto_answer_allowed,是,是否允许AI直接回答,true
handoff_conditions,否,转人工条件,节假日未确认
reviewer_id,是,审核人,manager_001
reviewed_at,是,审核时间,2026-08-15T09:00:00+08:00
status,是,草稿已发布已过期,draft
