event_name,owner,aggregate,trigger,payload_minimum,pii_classification,partition_key,consumers,retry_and_ordering
tenant.subscription_activated.v1,billing,subscription,订阅到账并生效,"subscription_id;plan_code;period_start;period_end",INTERNAL,subscription:{id},entitlement-service|reporting,至少一次;按订阅有序
tenant.subscription_past_due.v1,billing,subscription,续费扣款失败或到期未付,"subscription_id;grace_end",INTERNAL,subscription:{id},entitlement-service|notification,至少一次;按订阅有序
tenant.subscription_suspended.v1,billing,subscription,宽限期结束,"subscription_id;suspended_modules",INTERNAL,subscription:{id},gateway|delivery|notification,至少一次;按订阅有序
delivery.project_created.v1,delivery,delivery_project,创建一键交付项目,"project_id;store_id;package_code;step_codes",INTERNAL,delivery:{id},workflow-engine|reporting,至少一次;按项目有序
delivery.authorization_required.v1,delivery,delivery_project,步骤需要商家本人授权,"project_id;step_code;provider;authorization_url_ref",INTERNAL,delivery:{id},notification|workbench,至少一次;按项目有序
delivery.step_succeeded.v1,delivery,delivery_project,交付步骤成功,"project_id;step_code;result_ref;progress_percent",INTERNAL,delivery:{id},workflow-engine|reporting,至少一次;按项目有序
delivery.step_failed.v1,delivery,delivery_project,交付步骤达到单次失败条件,"project_id;step_code;error_code;retryable;next_retry_at",INTERNAL,delivery:{id},workflow-engine|alerting|workbench,至少一次;按项目有序
delivery.project_delivered.v1,delivery,delivery_project,必选步骤通过并确认,"project_id;accepted_by;accepted_at;checklist_ref",INTERNAL,delivery:{id},launch-operations|reporting|notification,至少一次;按项目有序
miniprogram.authorization_activated.v1,miniprogram,mini_program,商家授权自有AppID,"mini_program_id;app_id_hash;scope_codes;authorized_at",INTERNAL,miniprogram:{id},delivery|security-audit,至少一次;按小程序有序
miniprogram.release_preview_ready.v1,miniprogram,mini_program_release,构建和预览码生成成功,"release_id;mini_program_id;template_version;preview_ref",INTERNAL,miniprogram:{mini_program_id},workbench|delivery,至少一次;按小程序有序
miniprogram.release_submitted.v1,miniprogram,mini_program_release,商家确认后提交审核,"release_id;external_audit_id;confirmed_by;confirmed_at",INTERNAL,miniprogram:{mini_program_id},delivery|notification,至少一次;按小程序有序
miniprogram.release_rejected.v1,miniprogram,mini_program_release,微信审核驳回,"release_id;reason_code;reason_summary;external_audit_id",INTERNAL,miniprogram:{mini_program_id},delivery|notification|workbench,至少一次;按小程序有序
miniprogram.release_published.v1,miniprogram,mini_program_release,线上版本确认发布成功,"release_id;mini_program_id;template_version;published_at",INTERNAL,miniprogram:{mini_program_id},delivery|cdn-cache|reporting,至少一次;按小程序有序
geo.profile_ready.v1,geo,geo_profile,资料完整和一致性校验通过,"geo_profile_id;store_id;completeness_score;consistency_score",INTERNAL,geo:{id},delivery|workbench,至少一次;按资料有序
geo.target_published.v1,geo,geo_profile,单个发布目标确认成功,"geo_profile_id;target_code;external_record_id_hash;published_at",INTERNAL,geo:{id},delivery|reporting,至少一次;按资料有序
geo.target_failed.v1,geo,geo_profile,单个目标发布失败,"geo_profile_id;target_code;error_code;retryable",INTERNAL,geo:{id},workflow-engine|alerting|workbench,至少一次;按资料有序
customer_service.conversation_started.v1,customer-service,conversation,客户发起在线咨询,"conversation_id;store_id;customer_id_hash;channel;risk_level",PERSONAL,conversation:{id},ai-orchestrator|reporting,至少一次;按会话有序
customer_service.message_received.v1,customer-service,conversation,客户或员工消息已持久化,"conversation_id;message_id;sender_type;message_type;content_ref",PERSONAL,conversation:{id},ai-orchestrator|realtime-gateway,至少一次;按会话有序
customer_service.human_requested.v1,customer-service,conversation,用户要求人工或规则触发,"conversation_id;ticket_id;store_id;reason_code;priority;due_at",PERSONAL,conversation:{id},staff-routing|notification|reporting,至少一次;按会话有序
customer_service.human_accepted.v1,customer-service,conversation,员工接单,"conversation_id;ticket_id;assigned_user_id;accepted_at",PERSONAL,conversation:{id},realtime-gateway|reporting,至少一次;按会话有序
customer_service.conversation_closed.v1,customer-service,conversation,会话结案,"conversation_id;resolution_code;handled_by;duration_seconds",PERSONAL,conversation:{id},profile-service|reporting|quality-evaluation,至少一次;按会话有序
order.created.v1,commerce,order,订单和库存预占在同一事务完成,"order_id;order_no;store_id;customer_id_hash;amount_cents;item_refs;expires_at",PERSONAL,order:{id},payment|reporting|notification,至少一次;按订单有序
payment.succeeded.v1,payment,payment_intent,验签后的到账回调,"payment_intent_id;order_id;provider_transaction_id_hash;amount_cents;paid_at",INTERNAL,order:{order_id},order|reward|reporting|notification,至少一次;按订单有序
payment.failed.v1,payment,payment_intent,渠道明确支付失败或过期,"payment_intent_id;order_id;reason_code;failed_at",INTERNAL,order:{order_id},order|inventory|reporting,至少一次;按订单有序
verification.used.v1,fulfillment,verification_entitlement,核销事务成功,"verification_use_id;entitlement_id;order_id;store_id;quantity;used_at",PERSONAL,order:{order_id},order|reward|reporting|notification,至少一次;按订单有序
refund.requested.v1,refund,refund,退款申请完成规则判断,"refund_id;order_id;amount_cents;approval_required;reason_code",PERSONAL,order:{order_id},approval|payment|reporting,至少一次;按订单有序
refund.succeeded.v1,refund,refund,渠道确认退款成功,"refund_id;order_id;amount_cents;provider_refund_id_hash;succeeded_at",INTERNAL,order:{order_id},order|verification|reward|reporting|notification,至少一次;按订单有序
reward.granted.v1,reward,ledger_transaction,奖励双重记账事务提交,"ledger_transaction_id;order_id;rule_version;amount_cents;available_at;expires_at",PERSONAL,customer:{customer_id_hash},customer-profile|reporting,至少一次;按客户有序
reward.reversed.v1,reward,ledger_transaction,退款或风控产生冲正分录,"ledger_transaction_id;original_transaction_id;order_id;amount_cents;reason_code",PERSONAL,customer:{customer_id_hash},customer-profile|reporting,至少一次;按客户有序
plugin.installed.v1,plugin,plugin_installation,安装和租户授权完成,"installation_id;plugin_code;version;permission_codes;resource_scope_hash",INTERNAL,plugin-installation:{id},plugin-runtime|security-audit,至少一次;按安装有序
plugin.suspended.v1,plugin,plugin_installation,授权撤回或安全熔断,"installation_id;plugin_code;reason_code;suspended_at",INTERNAL,plugin-installation:{id},plugin-runtime|workflow-engine|notification,至少一次;按安装有序
privacy.consent_changed.v1,privacy,customer_consent,客户授权或撤回,"customer_id_hash;consent_type;status;policy_version;occurred_at",PERSONAL,customer:{customer_id_hash},profile-service|marketing|security-audit,至少一次;按客户有序
privacy.customer_deletion_requested.v1,privacy,customer_profile,客户提交删除请求,"customer_id_hash;request_id;requested_at;legal_hold",PERSONAL,customer:{customer_id_hash},privacy-worker|security-audit,至少一次;按客户有序
merchant.intake_session_created.v1,merchant-intake,intake_session,开始商家资料对话,"session_id;merchant_profile_id;channel;created_by",PERSONAL,intake:{id},agent-runtime|security-audit,至少一次;按会话有序
merchant.intake_asset_received.v1,merchant-intake,intake_asset,收到图片文件语音或文字,"session_id;asset_id;asset_type;sha256;source_channel",SENSITIVE,intake:{session_id},security-scan|extractor,至少一次;按材料有序
merchant.intake_extraction_completed.v1,merchant-intake,intake_session,字段提取完成,"session_id;field_count;conflict_count;missing_count",SENSITIVE,intake:{id},agent-runtime|notification,至少一次;按会话有序
merchant.intake_confirmation_recorded.v1,merchant-intake,intake_confirmation,用户确认关键资料,"session_id;confirmation_id;confirmation_type;confirmed_by",SENSITIVE,intake:{session_id},merchant-master|audit,至少一次;按会话有序
merchant.intake_committed.v1,merchant-intake,intake_session,确认内容写入正式商户资料,"session_id;merchant_profile_id;changed_field_paths;impact_targets",SENSITIVE,merchant:{merchant_profile_id},miniapp|geo|knowledge|reporting,至少一次;按商户有序
revenue_right.activated.v1,revenue-right,revenue_right_group,商务永久收益权生效,"right_group_id;merchant_profile_id;holder_ids;total_share_bps;starts_at",FINANCIAL,merchant:{merchant_profile_id},billing|finance|audit,至少一次;按商户有序
revenue_right.disputed.v1,revenue-right,revenue_right_group,永久收益权进入争议,"right_group_id;reason_code;evidence_refs;occurred_at",FINANCIAL,merchant:{merchant_profile_id},finance|notification|audit,至少一次;按商户有序
revenue_right.transferred.v1,revenue-right,revenue_right_transfer,三方确认后转让生效,"transfer_id;right_holder_id;from_beneficiary_id;to_beneficiary_id;effective_at",FINANCIAL,revenue-right:{right_holder_id},billing|finance|audit,至少一次;按收益权有序
direct_cost.recorded.v1,revenue-distribution,direct_cost_entry,直接成本或暂估成本入账,"cost_entry_id;source_type;source_id;cost_code;amount_cents;cost_status;service_period",FINANCIAL,distribution-source:{source_id},billing|finance,至少一次;按来源有序
distribution.statement_locked.v1,revenue-distribution,distribution_statement,月结单对账一致后锁定,"statement_id;actual_receipt_cents;refund_cents;direct_cost_cents;distributable_cents;policy_version",FINANCIAL,statement:{id},finance|payout|audit,至少一次;按结算单有序
distribution.allocation_accrued.v1,revenue-distribution,distribution_allocation,按规则生成受益人收益,"allocation_id;statement_id;beneficiary_id;beneficiary_role;share_bps;allocated_cents",FINANCIAL,beneficiary:{beneficiary_id},payout|notification|audit,至少一次;按受益人有序
distribution.payment_completed.v1,revenue-distribution,distribution_entry,收益付款完成,"entry_id;allocation_id;beneficiary_id;amount_cents;provider_payment_ref_hash",FINANCIAL,beneficiary:{beneficiary_id},finance|notification|audit,至少一次;按受益人有序
distribution.reversed.v1,revenue-distribution,distribution_entry,退款拒付或错误成本产生冲回,"entry_id;original_entry_id;allocation_id;amount_cents;reason_code",FINANCIAL,beneficiary:{beneficiary_id},finance|notification|audit,至少一次;按受益人有序
