role_code,role_name,scope,delivery.read,delivery.create,delivery.execute,delivery.accept,merchant_profile.manage,miniprogram.manage,miniprogram.release.submit,miniprogram.release.publish,miniprogram.release.rollback,geo.read,geo.publish,customer_service.read,customer_service.accept,customer_service.send,customer_service.close,customer_profile.read,customer_profile.export,order.read,order.manage,refund.request,refund.approve,verification.execute,reward_rule.manage,finance.reconcile,settlement.approve,report.value.read,member.manage,role.manage,plugin.install,plugin.permission.grant,audit.read,tenant.suspend,support.jit_read,merchant.intake.create,merchant.intake.read,merchant.intake.write,merchant.intake.confirm,revenue_right.read_own,revenue_right.read_all,revenue_right.create,revenue_right.transfer_request,revenue_right.transfer_approve,revenue_right.suspend,distribution.read_own,distribution.read_all,distribution.cost.read,distribution.lock,distribution.pay,distribution.reverse,cost_catalog.manage,revenue_policy.manage
PLATFORM_ADMIN,平台安全管理员,PLATFORM,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,DUAL,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,DUAL,DUAL,ALL,ALL,ALL,ALL,ALL,ALL,DUAL,DUAL
PLATFORM_OPS,平台运营,PLATFORM,JIT_READ,NONE,NONE,NONE,JIT_READ,JIT_READ,NONE,NONE,NONE,JIT_READ,NONE,JIT_READ,NONE,NONE,NONE,JIT_READ,NONE,JIT_READ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JIT_READ,NONE,NONE,NONE,NONE,JIT_READ,NONE,JIT_READ,NONE,JIT_READ,NONE,NONE,NONE,JIT_READ,NONE,NONE,NONE,NONE,NONE,JIT_READ,NONE,NONE,NONE,NONE,NONE,NONE
PLATFORM_FINANCE,平台财务,PLATFORM,JIT_READ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JIT_READ,NONE,NONE,NONE,NONE,NONE,JIT_READ,DUAL,JIT_READ,NONE,NONE,NONE,NONE,JIT_READ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE,NONE,DUAL,DUAL,NONE,ALL,ALL,DUAL,DUAL,DUAL,DUAL,DUAL
CHANNEL_PARTNER,区县合作伙伴,CHANNEL,ASSIGNED,NONE,ASSIGNED,NONE,ASSIGNED,NONE,NONE,NONE,NONE,ASSIGNED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ASSIGNED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ASSIGNED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ASSIGNED,ASSIGNED,ASSIGNED,NONE,ASSIGNED,NONE,NONE,ASSIGNED,NONE,NONE,ASSIGNED,NONE,ASSIGNED,NONE,NONE,NONE,NONE,NONE
MERCHANT_OWNER,商家负责人,TENANT,TENANT,TENANT,TENANT,TENANT,TENANT,TENANT,TENANT,TENANT,DUAL,TENANT,TENANT,TENANT,TENANT,TENANT,TENANT,TENANT,DUAL,TENANT,TENANT,TENANT,TENANT,TENANT,TENANT,TENANT,DUAL,TENANT,TENANT,TENANT,TENANT,TENANT,TENANT,NONE,NONE,TENANT,TENANT,TENANT,TENANT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
STORE_MANAGER,店长,STORE,STORE,NONE,STORE,NONE,STORE,NONE,NONE,NONE,NONE,STORE,STORE,STORE,STORE,STORE,STORE,STORE,NONE,STORE,STORE,STORE,CONDITIONAL,STORE,NONE,STORE,NONE,STORE,STORE,NONE,NONE,NONE,STORE,NONE,NONE,NONE,STORE,STORE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
CUSTOMER_SERVICE,客服,STORE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,STORE,STORE,STORE,STORE,STORE,NONE,STORE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,STORE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
FINANCE,商家财务,TENANT,TENANT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENANT,NONE,NONE,NONE,NONE,NONE,TENANT,DUAL,TENANT,NONE,TENANT,TENANT,NONE,TENANT,TENANT,DUAL,TENANT,NONE,NONE,NONE,NONE,TENANT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
MARKETER,商家运营,STORE,STORE,NONE,NONE,NONE,STORE,STORE,NONE,NONE,NONE,STORE,STORE,STORE,NONE,NONE,NONE,STORE,NONE,STORE,STORE,NONE,NONE,NONE,STORE,NONE,NONE,STORE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
VERIFIER,核销员,STORE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,OWN,NONE,NONE,NONE,STORE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
