event_name,product,surface,trigger,required_properties,identity,consent_basis,retention_class
page_viewed,通用,全部页面,页面有效展示,"page_id;route;referrer;experiment_ids",anonymous_id或user_id,必要产品分析,ANALYTICS_180D
primary_action_clicked,通用,全部页面,主按钮点击,"page_id;action_id;resource_type;resource_id_hash",user_id或customer_id_hash,必要产品分析,ANALYTICS_180D
error_presented,通用,全部页面,用户看到错误,"page_id;error_code;recoverable;trace_id",user_id或customer_id_hash,服务诊断,OPS_30D
delivery_project_started,乐趣宝,一键交付,开始执行,"project_id_hash;package_code;step_count",user_id,履行服务,OPS_365D
delivery_step_viewed,乐趣宝,交付进度,展开步骤详情,"project_id_hash;step_code;status",user_id,履行服务,ANALYTICS_180D
delivery_block_resolved,乐趣宝,交付进度,商家补资料后解除阻塞,"project_id_hash;step_code;reason_code;elapsed_seconds",user_id,履行服务,OPS_365D
miniprogram_preview_opened,乐趣宝,小程序发布,打开体验版,"mini_program_id_hash;release_id_hash;template_version",user_id,履行服务,ANALYTICS_180D
miniprogram_review_submitted,乐趣宝,小程序发布,确认提交审核,"mini_program_id_hash;release_id_hash;category_code",user_id,履行服务,OPS_365D
geo_health_viewed,乐趣宝,GEO健康,查看健康页,"store_id_hash;completeness_score;consistency_score;failed_target_count",user_id,履行服务,ANALYTICS_180D
geo_publish_clicked,乐趣宝,GEO健康,发起发布,"store_id_hash;target_codes;profile_version",user_id,履行服务,OPS_365D
customer_service_queue_opened,乐趣宝,客服工作台,打开人工队列,"store_scope_count;open_ticket_count;oldest_wait_seconds",user_id,履行服务,ANALYTICS_180D
customer_service_ticket_accepted,乐趣宝,客服工作台,员工接单,"conversation_id_hash;ticket_id_hash;wait_seconds;priority",user_id,履行服务,OPS_365D
customer_service_ticket_resolved,乐趣宝,客服工作台,员工结案,"conversation_id_hash;resolution_code;handle_seconds;ai_assisted",user_id,履行服务,OPS_365D
plugin_permission_viewed,乐趣宝,插件中心,查看权限清单,"plugin_code;version;permission_count;risk_level",user_id,安全告知,SECURITY_3Y
plugin_install_confirmed,乐趣宝,插件中心,确认安装,"plugin_code;version;accepted_permissions;resource_scope_hash",user_id,授权证据,SECURITY_3Y
monthly_report_viewed,乐趣宝,经营月报,打开月报,"month;store_scope;report_generated_at",user_id,履行服务,ANALYTICS_365D
home_banner_clicked,乐趣生活,生活首页,点击整张Banner,"banner_id;position;campaign_id;destination_type",anonymous_id或customer_id_hash,必要产品分析,ANALYTICS_180D
home_category_clicked,乐趣生活,生活首页,点击分类图标,"category_id;position;source_module",anonymous_id或customer_id_hash,必要产品分析,ANALYTICS_180D
product_viewed,乐趣生活,商品详情,商品详情有效展示,"product_id_hash;store_id_hash;product_type;source_module",anonymous_id或customer_id_hash,必要产品分析,ANALYTICS_180D
cart_item_added,乐趣生活,商品详情或列表,加入购物车,"product_id_hash;variant_id_hash;quantity;source_module",customer_id_hash,履行服务,ANALYTICS_180D
checkout_started,乐趣生活,确认订单,进入结算,"cart_id_hash;store_count;item_count;amount_cents",customer_id_hash,履行服务,OPS_365D
payment_result_viewed,乐趣生活,支付结果,结果页有效展示,"order_id_hash;payment_intent_id_hash;displayed_status",customer_id_hash,履行服务,OPS_365D
groupbuy_viewed,乐趣生活,生活圈,团购详情有效展示,"product_id_hash;store_id_hash;distance_bucket;source_module",anonymous_id或customer_id_hash,必要产品分析,ANALYTICS_180D
verification_code_opened,乐趣生活,订单详情,展示核销码,"order_id_hash;entitlement_id_hash;remaining_uses",customer_id_hash,履行服务,SECURITY_365D
ai_service_opened,商家小程序,在线客服,打开客服界面,"store_id_hash;entry_page_id;order_context_present",customer_id_hash,履行服务,ANALYTICS_180D
ai_service_message_sent,商家小程序,在线客服,客户发送消息,"conversation_id_hash;message_type;character_bucket",customer_id_hash,履行服务,OPS_365D
ai_service_human_requested,商家小程序,在线客服,点击或输入要求人工,"conversation_id_hash;reason_source;wait_estimate_shown",customer_id_hash,履行服务,OPS_365D
profile_memory_consent_changed,商家小程序,隐私设置,授权或撤回持续客户档案,"policy_version;new_status;entry_page_id",customer_id_hash,单独同意,SECURITY_3Y
subscription_message_consent_result,商家小程序,离开提醒,订阅消息授权结果,"template_purpose;result;entry_page_id",customer_id_hash,平台授权,SECURITY_3Y
merchant_intake_started,乐趣宝,商家资料对话,开始新建或补充商家资料,"session_id_hash;channel;merchant_exists",user_id,履行服务,OPS_365D
merchant_intake_asset_added,乐趣宝,商家资料对话,发送图片文件或语音,"session_id_hash;asset_type;source_channel",user_id,履行服务,OPS_365D
merchant_intake_missing_answered,乐趣宝,商家资料对话,回答缺项问题,"session_id_hash;question_code;answer_mode",user_id,履行服务,OPS_365D
merchant_intake_confirmed,乐趣宝,商家资料对话,确认关键字段或发布影响,"session_id_hash;confirmation_type;changed_field_count",user_id,履行服务,OPS_365D
revenue_right_viewed,乐趣宝,商务中心,查看永久收益权,"right_id_hash;merchant_id_hash;status",user_id,合同履行,FINANCE_10Y
distribution_statement_viewed,乐趣宝,商务收益,查看月度收益明细,"statement_id_hash;period;status;source_type",user_id,合同履行,FINANCE_10Y
distribution_cost_expanded,乐趣宝,商务收益,展开直接成本明细,"statement_id_hash;cost_code;evidence_available",user_id,合同履行,FINANCE_10Y
distribution_dispute_submitted,乐趣宝,商务收益,提交成本或收益申诉,"statement_id_hash;reason_code",user_id,合同履行,FINANCE_10Y
revenue_right_transfer_started,乐趣宝,商务收益,发起永久收益权转让,"right_id_hash;agreement_attached",user_id,合同履行,FINANCE_10Y
