page_id,product,terminal,level,parent_id,title,route,primary_role,purpose,components,primary_actions,states,api_domains,priority,acceptance,is_leaf
PAGE-001,乐趣宝,PC与移动H5,2,,AI工作台,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-002,乐趣宝,PC与移动H5,3,PAGE-001,新建与执行,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-003,乐趣宝,PC与移动H5,4,PAGE-002,新对话,/bao/page-003,按页面权限,完成“新对话”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-004,乐趣宝,PC与移动H5,4,PAGE-002,普通对话,/bao/page-004,按页面权限,完成“普通对话”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-005,乐趣宝,PC与移动H5,4,PAGE-002,复杂任务,/bao/page-005,按页面权限,完成“复杂任务”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-006,乐趣宝,PC与移动H5,4,PAGE-002,成果预览,/bao/page-006,按页面权限,完成“成果预览”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-007,乐趣宝,PC与移动H5,4,PAGE-002,来源与工具轨迹,/bao/page-007,按页面权限,完成“来源与工具轨迹”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-008,乐趣宝,PC与移动H5,3,PAGE-001,会话管理,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-009,乐趣宝,PC与移动H5,4,PAGE-008,会话列表,/bao/page-009,客服与店长,完成“会话列表”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,搜索;筛选;打开详情,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,service;customer;knowledge,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-010,乐趣宝,PC与移动H5,4,PAGE-008,后台任务,/bao/page-010,按页面权限,完成“后台任务”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
