test_id,priority,domain,scenario,expected_result,automation,evidence
INT-001,P0,AI对话建档,上传营业执照图片,原图留存且OCR候选字段带来源和置信度,自动,接口与数据库断言
INT-002,P0,AI对话建档,上传门头照和门店定位,自动合并品牌名地址和经纬度且保留冲突,自动,字段候选记录
INT-003,P0,AI对话建档,语音说明营业时间,转写后生成可确认候选字段且不直接公开,自动,语音来源与候选字段
INT-004,P0,AI对话建档,执照主体与门头名不一致,系统不覆盖任一值并向用户解释和询问,自动,冲突记录与会话日志
INT-005,P0,AI对话建档,未确认法律主体,不得写入正式商户资料且不得发布,自动,权限拦截日志
INT-006,P0,AI对话建档,未确认价格和退款规则,不得启用收款和对外订单,自动,发布门禁记录
INT-007,P0,AI对话建档,小程序名称候选,名称由商家填写或确认且页面提示以微信审核为准,半自动,确认记录与页面录屏
INT-008,P0,AI对话建档,文件安全检查失败,不进入OCR和转写且原因可审计,自动,安全扫描日志
INT-009,P0,AI对话建档,企业微信文件链接过期,会话保留并生成可重试提示不删除已有材料,自动,故障注入报告
INT-010,P0,租户安全,A商户查询B商户建档会话,返回无权限且不泄露元数据,自动,RLS集成测试
RGT-001,P0,永久收益权,新商户确权,商务受益人组合计恰为7000基点,自动,数据库约束测试
RGT-002,P0,永久收益权,商户连续续费十二个月,原商务每月都获得有效70份额且无自动到期,自动,十二期结算仿真
RGT-003,P0,永久收益权,商户暂停续费,当期不产生订阅收益但已确权归属不被删除,自动,状态与结算断言
RGT-004,P0,永久收益权,商务人员系统账号停用,停止访问但不自动终止已确权收益,自动,权限与受益权分离测试
RGT-005,P0,永久收益权,受益权转移,缺少转出人转入人和审批人确认时不生效,自动,状态机测试
RGT-006,P0,永久收益权,受益权转移生效,新旧权利时间段不重叠且合计仍为7000基点,自动,数据库约束与时间线
RGT-007,P0,永久收益权,两人重复主张同一商户,进入争议状态且在解决前暂停相关应付,自动,争议工单与账户状态
CST-001,P0,直接成本,录入未用AI额度为成本,系统拒绝计入可扣成本,自动,成本目录规则测试
CST-002,P0,直接成本,录入通用研发或办公成本,系统拒绝在分配前扣除,自动,成本目录规则测试
CST-003,P0,直接成本,模型调用成本无租户或任务来源,记录不能进入月结单,自动,数据库与业务规则
CST-004,P0,直接成本,第三方账单暂估,只有财务批准后可进入待锁定结算单,自动,审批流与审计日志
CST-005,P0,直接成本,实际账单与暂估不一致,生成补差记录而不覆盖原记录,自动,补差分录
DST-001,P0,订阅分配,计算净收入池,实际到账减退款减可扣直接成本与结算单一致,自动,金额断言与对账报告
DST-002,P0,订阅分配,净收入池为负数,按0计且不生成负应付,自动,边界值测试
DST-003,P0,订阅分配,订阅政策比例,商务7000基点尚智1000基点乐趣生活2000基点合计10000,自动,延迟约束测试
DST-004,P0,订阅分配,分配尾差,按规则归入乐趣生活且合计严格等于净收入池,自动,分币级对账测试
DST-005,P0,订阅分配,锁定后尝试修改结算单,原单不可变更只能生成补差或冲回,自动,不可变字段测试
DST-006,P0,订阅分配,已付款订单后退款,按原订单原政策原受益人生成反向分录,自动,冲回账本测试
DST-007,P0,账本隔离,订阅算力包代金券同时入账,三类业务分录可分账对账不相互污染,自动,三账本对账报告
CMP-001,P0,算力包分配,无有效区县服务商,净利润按乐趣宝50商务30尚智20分配,自动,政策版本与金额断言
CMP-002,P0,算力包分配,存在有效区县服务商,净利润按乐趣宝50商务30尚智10区县服务10分配,自动,政策版本与金额断言
CMP-003,P0,算力包分配,区县服务商在购买后才关联,已锁定订单仍使用购买时政策不追溯改写,自动,政策快照测试
CMP-004,P0,算力包分配,算力包实收小于实际直接成本,净利润按0计且不产生负分配,自动,边界值测试
VCH-001,P0,代金券,原订单价格计佣,继续使用原冻结规则不改成实付金额计佣,自动,历史回放对账
VCH-002,P0,代金券,单公司结算主体,应付仅由一家公司支付且不产生科技销售结算公司拆分,自动,付款指令与会计分录
VCH-003,P0,代金券,检测旧的15比15比70分配,活跃规则不得生成该分配结果,自动,规则扫描与回归测试
VCH-004,P0,代金券,订单退款,原佣金奖励与加速记录按冻结规则冲回,自动,冲回账本
VCH-005,P0,代金券,冲回后账户不足,保留负余额且后续收益按顺序抵扣,自动,负余额回归测试
UI-001,P0,页面完整性,构建页面树,共有307个节点197个可执行叶子页且最深六级,自动,页面树统计
UI-002,P0,页面完整性,遍历所有叶子页,每页都包含默认加载空数据局部错误无权停用成功可恢复失败八类状态,自动,页面契约扫描
UI-003,P0,视觉资产,生活分类图标,十六个彩色立体图标语义与类目一一对应且透明背景无文字,半自动,视觉检查图
UI-004,P0,视觉资产,关键效果图渲染,十四张效果图尺寸正确且无空白页和主要裁切,自动,图像尺寸与像素检查
UI-005,P0,Harness交互,复杂任务打开任务与成果右栏,任务成果来源三页签和关闭操作完整,半自动,控件矩阵与录屏
API-001,P0,接口契约,AI建档接口,会话材料消息确认与企微回调路径齐全,自动,OpenAPI扫描
API-002,P0,接口契约,永久收益权接口,查询转移和确认路径都有权限标记和幂等键,自动,OpenAPI扫描
API-003,P0,接口契约,月结单接口,查询审核锁定与冲回路径包含并发版本控制,自动,OpenAPI扫描
