permission_code,domain,risk_level,scope_rule,second_confirmation,audit_required,notes
delivery.read,delivery,LOW,租户或被分配商家,否,是,合作伙伴只看自己被分配的项目
delivery.create,delivery,MEDIUM,租户,是,是,检查套餐门店和项目数量
delivery.execute,delivery,HIGH,租户或被分配商家,是,是,外部授权必须由商家完成
delivery.accept,delivery,HIGH,租户,是,是,保存验收清单快照
merchant_profile.manage,merchant,HIGH,租户或门店,是,是,主体关键字段修改后重新校验
miniprogram.manage,miniprogram,HIGH,租户,是,是,名称和AppID归商家
miniprogram.release.submit,miniprogram,HIGH,租户,是,是,预览隐私类目三项确认
miniprogram.release.publish,miniprogram,CRITICAL,租户,是,是,只允许审核通过版本
miniprogram.release.rollback,miniprogram,CRITICAL,租户且双人审批,是,是,不得删除历史版本
geo.read,geo,LOW,租户或门店,否,是,不得展示其他商家目标信息
geo.publish,geo,HIGH,租户或门店,是,是,只发布已启用目标
customer_service.read,customer_service,MEDIUM,授权门店,否,是,正文读取单独记审计
customer_service.accept,customer_service,MEDIUM,授权门店,否,是,同一会话单人接管
customer_service.send,customer_service,HIGH,已接管会话,否,是,不得冒充其他员工
customer_service.close,customer_service,MEDIUM,授权门店,否,是,记录解决码
customer_profile.read,customer,MEDIUM,授权门店或租户,否,是,默认脱敏
customer_profile.export,customer,CRITICAL,租户且双人审批,是,是,短时下载和水印
order.read,commerce,MEDIUM,授权门店或本人订单,否,是,跨租户返回404
order.manage,commerce,HIGH,授权门店,是,是,状态迁移受服务端限制
refund.request,commerce,HIGH,授权门店或客户本人,是,是,提供退款范围和原因
refund.approve,commerce,CRITICAL,租户财务或负责人,是,是,请求人与审批人按规则分离
verification.execute,commerce,HIGH,授权门店,是,是,一次性令牌和幂等键
reward_rule.manage,rewards,HIGH,租户,是,是,必须声明出资与冲正规则
finance.reconcile,finance,HIGH,租户,是,是,只读渠道凭证并写差异单
settlement.approve,finance,CRITICAL,租户且双人审批,是,是,账不平禁止审批
report.value.read,report,LOW,租户或门店,否,是,按角色隐藏客户明细
member.manage,identity,HIGH,租户或门店,是,是,禁止授予高于自己权限
role.manage,identity,CRITICAL,租户且双人审批,是,是,负责人变更需主体验证
plugin.install,plugin,HIGH,租户,是,是,展示权限域名费用卸载影响
plugin.permission.grant,plugin,CRITICAL,租户且双人审批,是,是,权限增加需重新授权
audit.read,security,HIGH,租户或平台JIT,是,是,日志本身不可导出全部正文
tenant.suspend,security,CRITICAL,平台双人审批,是,是,保留账单导出和申诉入口
support.jit_read,security,CRITICAL,指定租户指定资源限时,是,是,商家授权或紧急审批
merchant.intake.create,merchant_intake,MEDIUM,租户或被分配商户,否,是,开始对话建档前检查商户协助权限
merchant.intake.read,merchant_intake,HIGH,租户门店或被分配商户,否,是,材料和证照不得跨商户读取
merchant.intake.write,merchant_intake,HIGH,租户门店或被分配商户,否,是,原始材料安全检查后才进入识别
merchant.intake.confirm,merchant_intake,CRITICAL,商户负责人或对应高风险角色,是,是,主体支付价格退款和发布分别确认
revenue_right.read_own,revenue_right,HIGH,本人受益权,否,是,只看本人份额和允许公开的商户摘要
revenue_right.read_all,revenue_right,CRITICAL,平台或授权区域,是,是,查看其他人永久收益权需要明确业务原因
revenue_right.create,revenue_right,CRITICAL,平台财务与签约工作流,是,是,同一商户只能有一组有效原始收益权
revenue_right.transfer_request,revenue_right,CRITICAL,本人收益权,是,是,需要协议和新受益人资料
revenue_right.transfer_approve,revenue_right,CRITICAL,平台双人审批,是,是,原权利人新权利人总部三方确认
revenue_right.suspend,revenue_right,CRITICAL,平台双人审批,是,是,只能因争议欺诈司法或合同原因暂停
distribution.read_own,revenue_distribution,HIGH,本人收益分配,否,是,可看成本来源但隐藏无关商户敏感信息
distribution.read_all,revenue_distribution,CRITICAL,平台财务或授权区域,是,是,查询行为写入审计
distribution.cost.read,revenue_distribution,HIGH,本人或平台财务,否,是,凭证按字段脱敏
distribution.lock,revenue_distribution,CRITICAL,平台财务双人复核,是,是,一分钱差异也不得锁定
distribution.pay,revenue_distribution,CRITICAL,平台财务双人复核,是,是,付款幂等并保存渠道流水
distribution.reverse,revenue_distribution,CRITICAL,平台财务双人复核,是,是,必须关联原分配和原付款
cost_catalog.manage,revenue_distribution,CRITICAL,平台财务双人审批,是,是,规则变更只影响新服务月份
revenue_policy.manage,revenue_distribution,CRITICAL,平台财务双人审批,是,是,生效策略比例必须合计百分之百
