control_id,category,control,behavior,visible_mode,risk
NAV-01,导航,新建对话,首屏固定；Ctrl/Cmd+N,empty,P1
NAV-02,导航,收起侧栏,保留图标轨道,all,P2
NAV-03,导航,移动端侧栏,抽屉；Esc/遮罩关闭,all,P2
NAV-04,导航,搜索,对话、文件、项目、人员、业务对象；Ctrl/Cmd+K,all,P1
NAV-05,导航,我的工作,默认空间,all,P1
NAV-06,导航,团队空间,仅显示授权空间,all,P0
NAV-07,导航,业务插件,按角色与数据域过滤,all,P0
NAV-08,导航,成果文件,按权限搜索、预览、版本化,all,P0
SES-01,会话,历史分组,今天/昨天/7天/更早,all,P1
SES-02,会话,重命名,保留审计,chat,P1
SES-03,会话,置顶收藏,个人偏好,chat,P2
SES-04,会话,移动到项目,校验目标空间权限,chat,P0
SES-05,会话,分享,默认关闭外部访问,chat,P0
SES-06,会话,导出,PDF/DOCX/Markdown及来源,chat,P1
SES-07,会话,归档,可恢复,chat,P1
SES-08,会话,删除,二次确认并遵守保留策略,chat,P0
SES-09,会话,对话分支,从选定消息创建分支,chat,P1
SES-10,会话,恢复未完成任务,从检查点恢复、禁止重复写,task,P0
TOP-01,顶部,标题自动生成,可重命名,all,P2
TOP-02,顶部,执行模式,快速问答/深度执行/仅检索,all,P1
TOP-03,顶部,后台任务,显示数量、状态和切换,task,P1
TOP-04,顶部,共享,人员、期限、权限范围,chat,P0
TOP-05,顶部,更多,收藏、导出、归档等,chat,P1
TOP-06,顶部,保存状态,保存中/已保存/离线,all,P1
MSG-01,消息,复制,保留格式,chat,P2
MSG-02,消息,重新生成,从同一输入重跑,chat,P1
MSG-03,消息,继续生成,断点继续,chat,P1
MSG-04,消息,停止执行,保存检查点并停止后续工具,task,P0
MSG-05,消息,编辑后重试,创建新分支，不覆盖审计,chat,P1
MSG-06,消息,反馈,有帮助/无帮助/原因,chat,P2
MSG-07,消息,引用来源,来源、时间、权限与不确定性,chat,P0
MSG-08,消息,执行轨迹,理解/检索/工具/确认/成果,task,P1
MSG-09,消息,工具详情,参数脱敏、结果摘要、耗时,task,P0
MSG-10,消息,失败重试,错误可理解、可恢复,task,P0
CMP-01,输入,多行输入,Enter发送/Shift+Enter换行,all,P1
CMP-02,输入,附件,文件、图片、表格、合同、PPT,all,P0
CMP-03,输入,上传进度,扫描、解析、失败重试、取消,all,P0
CMP-04,输入,联网,显示来源与检索时间,all,P0
CMP-05,输入,技能,只显示预置和授权技能,all,P0
CMP-06,输入,插件,业务插件及风险提示,all,P0
CMP-07,输入,语音,按住说话/转写确认/取消,all,P1
CMP-08,输入,斜杠命令,预置命令与模糊搜索,all,P1
CMP-09,输入,@引用,人员、知识空间、文件、业务对象,all,P0
CMP-10,输入,发送/排队,运行中可排队或停止,all,P1
PNL-01,任务成果,动态展开,普通聊天隐藏；复杂任务展开,task,P2
PNL-02,任务成果,任务页签,步骤、进度、检查点、责任人,task,P1
PNL-03,任务成果,成果页签,文件、版本、预览、编辑、下载,task,P1
PNL-04,任务成果,来源页签,来源、时间、引用位置、权限,task,P0
PNL-05,任务成果,关闭面板,关闭不停止任务,task,P1
PNL-06,任务成果,移动端底部抽屉,半屏/全屏/下滑关闭,task,P2
PNL-07,任务成果,人工确认,对象、影响、依据、幂等键,task,P0
PNL-08,任务成果,可编辑成果,PPT/DOCX/XLSX/代码/图片/PDF,task,P1
USR-01,用户,身份摘要,姓名+公司/组织+当前角色,all,P0
USR-02,用户,身份卡,组织、部门、角色、数据范围,all,P0
USR-03,用户,身份切换,双身份/多组织明确切换并重载权限,all,P0
USR-04,用户,企业微信绑定,显示绑定状态与解绑确认,all,P0
USR-05,用户,长期记忆,查看、更正、删除、导出、关闭,all,P0
USR-06,用户,主题,浅色/深色/跟随系统,all,P2
USR-07,用户,通知,系统内/企业微信/移动推送,all,P1
USR-08,用户,安全设备,登录设备、退出其他设备、MFA,all,P0
USR-09,用户,设置,个人偏好、隐私、帮助反馈,all,P1
USR-10,用户,退出登录,清理本机敏感缓存,all,P0
STA-01,状态,流式生成,逐段显示并可停止,task,P1
STA-02,状态,离线重连,不丢输入与未提交附件,all,P1
STA-03,状态,权限拒绝,不泄露对象存在性,all,P0
STA-04,状态,空状态,新对话与能力建议,empty,P2
STA-05,状态,限流降级,429/5xx退避与模型回退,task,P0
STA-06,状态,完成回执,成果、来源、执行和审批回执,task,P0
